name,version,type,purl,license
chevrotain,11.0.3,library,pkg:npm/chevrotain@11.0.3,Apache-2.0
@chevrotain/cst-dts-gen,11.0.3,library,pkg:npm/%40chevrotain/cst-dts-gen@11.0.3,Apache-2.0
@chevrotain/gast,11.0.3,library,pkg:npm/%40chevrotain/gast@11.0.3,Apache-2.0
@chevrotain/types,11.0.3,library,pkg:npm/%40chevrotain/types@11.0.3,Apache-2.0
lodash-es,4.17.21,library,pkg:npm/lodash-es@4.17.21,MIT
@chevrotain/regexp-to-ast,11.0.3,library,pkg:npm/%40chevrotain/regexp-to-ast@11.0.3,Apache-2.0
@chevrotain/utils,11.0.3,library,pkg:npm/%40chevrotain/utils@11.0.3,Apache-2.0
@types/node,20.19.25,library,pkg:npm/%40types/node@20.19.25,MIT
undici-types,6.21.0,library,pkg:npm/undici-types@6.21.0,MIT
@typescript-eslint/eslint-plugin,7.18.0,library,pkg:npm/%40typescript-eslint/eslint-plugin@7.18.0,MIT
@typescript-eslint/parser,7.18.0,library,pkg:npm/%40typescript-eslint/parser@7.18.0,BSD-2-Clause
eslint,8.57.1,library,pkg:npm/eslint@8.57.1,MIT
@eslint-community/eslint-utils,4.9.0,library,pkg:npm/%40eslint-community/eslint-utils@4.9.0,MIT
eslint-visitor-keys,3.4.3,library,pkg:npm/eslint-visitor-keys@3.4.3,Apache-2.0
@eslint-community/regexpp,4.12.2,library,pkg:npm/%40eslint-community/regexpp@4.12.2,MIT
@eslint/eslintrc,2.1.4,library,pkg:npm/%40eslint/eslintrc@2.1.4,MIT
ajv,6.12.6,library,pkg:npm/ajv@6.12.6,MIT
fast-deep-equal,3.1.3,library,pkg:npm/fast-deep-equal@3.1.3,MIT
fast-json-stable-stringify,2.1.0,library,pkg:npm/fast-json-stable-stringify@2.1.0,MIT
json-schema-traverse,0.4.1,library,pkg:npm/json-schema-traverse@0.4.1,MIT
uri-js,4.4.1,library,pkg:npm/uri-js@4.4.1,BSD-2-Clause
punycode,2.3.1,library,pkg:npm/punycode@2.3.1,MIT
debug,4.4.3,library,pkg:npm/debug@4.4.3,MIT
ms,2.1.3,library,pkg:npm/ms@2.1.3,MIT
espree,9.6.1,library,pkg:npm/espree@9.6.1,BSD-2-Clause
acorn,8.15.0,library,pkg:npm/acorn@8.15.0,MIT
acorn-jsx,5.3.2,library,pkg:npm/acorn-jsx@5.3.2,MIT
globals,13.24.0,library,pkg:npm/globals@13.24.0,MIT
type-fest,0.20.2,library,pkg:npm/type-fest@0.20.2,(MIT OR CC0-1.0)
ignore,5.3.2,library,pkg:npm/ignore@5.3.2,MIT
import-fresh,3.3.1,library,pkg:npm/import-fresh@3.3.1,MIT
parent-module,1.0.1,library,pkg:npm/parent-module@1.0.1,MIT
callsites,3.1.0,library,pkg:npm/callsites@3.1.0,MIT
resolve-from,4.0.0,library,pkg:npm/resolve-from@4.0.0,MIT
js-yaml,4.1.1,library,pkg:npm/js-yaml@4.1.1,MIT
argparse,2.0.1,library,pkg:npm/argparse@2.0.1,Python-2.0
minimatch,3.1.2,library,pkg:npm/minimatch@3.1.2,ISC
